,id,text,created_at,retweet_count,favorite_count,source,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location,user_coordinates
0,793876335038910465,My naps are so routine that I didn't take one today and I heard the weekly tornado siren test for the first time all year,2016-11-02 18:04:02,0,0,Twitter for iPhone,593221400,JocularJake,Footer,2012-05-29 01:09:31,"My goal in life is to have my own Wikipedia page. It is not enough to succeed, others must fail. Time and change will surely show.",437,248,,
1,793876322909032448,"@tornado_cat I'm dangerously sleep-deprived and undercaffeinated at the moment, so I'm entirely sympathetic.",2016-11-02 18:03:59,0,0,Twitter Web Client,25564232,actioncookbook,actioncookbook,2009-03-20 19:57:21,"pick up dry cleaning, pay water bill, mow lawn, update twitter bio",6328,301,"Louisville, KY",
2,793876233528414212,RT @xkcdComic: Tornado Safety Tips https://t.co/i6xHyk6l6P https://t.co/020iWYhZtF https://t.co/yrN5Sv6asw,2016-11-02 18:03:38,120,0,Twitter for Android,3183562115,KitCwx,Kit Cloninger,2015-04-19 15:45:57,"Senior Meteorology student (with a minor in math) at UNC Charlotte. Fascinated by all things meteorological⚡
Always keep your Weather Preparedness 'Kit' nearby!",115,224,,
3,793876210384244736,RT @LEONORHERNANDE3: Asi quedó el #hotelcolon de #Piriapolis después del #tornado @emepege @emekavoces @metsul @vivieleste https://t.co/0fo…,2016-11-02 18:03:32,6,0,Twitter for Windows Phone,2205385176,YISELALVAREZ2,YISEL ALVAREZ,2013-11-20 18:30:58,,25,48,,
4,793876105123946496,"Dropping this fresh jam. MegAdele mashup #2 - ""Tornado of My Love"" https://t.co/xhNSknm6EU @donaldianblack",2016-11-02 18:03:07,0,0,Twitter Web Client,15828239,Pluimer,Ben Pluimer,2008-08-12 21:13:12,"TV and commercial director, very decent guy. Legendary Dudas on Nickelodeon, coming this July.",800,275,"Los Angeles, California",
5,793876079098355712,"@actioncookbook Aw heck, now everything makes sense. I mistook you for someone i know irl. #Mondays amiright? 😣😣",2016-11-02 18:03:01,0,0,Twitter for Android,345557941,tornado_cat,trashcat,2011-07-30 20:01:46,NaNoWriMo 2016. 23. Proud Slytherin. Bitter hag.,231,345,12 grimmauld place,
6,793876029336981504,Monthly tornado warning test in Duluth as of 1 pm... or is it a bear warning siren? (The bear is still there),2016-11-02 18:02:49,0,1,Mobile Web (M5),396399850,akpix,Andrew Krueger,2011-10-23 06:39:08,"Writer, editor, photographer, videographer and blogger for @duluthnews. Wanderer in the Northland and beyond. MN by way of WI and AK. akduluth@gmail.com",2272,536,"Duluth, Minn.",
7,793876000387977216,The song the tornado siren test is trying to drowned out this month is Black Sabbath’s “Wheels of Confusion”. @tpvhq,2016-11-02 18:02:42,0,0,Tweetbot for Mac,49584074,davegatchell,dave gatchell,2009-06-22 09:35:40,"Doer of stuff for @tpvhq, @bugfixband, and @1000sofcats",395,620,Minneapolis / Tokyo,
8,793875960705671168,Tornado? Oh right...it's the first Wednesday of the month. My ears! https://t.co/mNZ9pRZi1w,2016-11-02 18:02:33,0,0,Twitter Web Client,2490434971,NightOfMajin,TheUnknownShortGirl,2014-05-11 21:27:21,Catholic: Coming soon. I like nature from a distance. I like sports. Minnesota United. Portland Timbers. Minnesota Wild. Chelsea FC.,317,1350,"St Cloud, MN",
9,793875900869677056,"@NWSHouston FYI re safety tips, for tornados.

xkcd: Tornado Safety Tips https://t.co/LHk7RqBoDt",2016-11-02 18:02:18,0,0,Twitter for iPad,34116978,iaidoka1,Emily Egan,2009-04-22 00:53:13,I practice main line Musō Jikiden Eishin Ryū Iaidō/Iaiheihō (無双直伝英信流正統会),75,146,Texas,
10,793875892179243008,"RT @gtafiveallday: My new Declasse Tornado Rat Rod

#GTAV #GTAOnline @RockstarGames https://t.co/QPWsajAdE3",2016-11-02 18:02:16,31,0,Twitter for Android,3247728437,mikaellarsson26,Mickey232,2015-05-12 11:40:43,"I'm a Swedish gamer and modder Who play GTA ONLINE, Dead Space, Time Of Dragons and Defiance  on pc.",65,132,,
11,793875843802025984,And just got creeped out by the 1st Wednesday 1 o'clock tornado siren test,2016-11-02 18:02:05,0,0,Twitter for Android,739250163005460485,_RustedGold,RustedGold,2016-06-05 00:19:08,I write. I rope. I fuck up. I go on.,58,94,,
12,793875799610830850,ok i've already tweeted this but the monthly tornado siren noise is so creepy and it's like two blocks from my house,2016-11-02 18:01:54,0,1,Twitter Web Client,1684301533,cassandragoff,"OG Mami, M.D.",2013-08-19 21:59:16,"30% Dennis Reynolds, 70% Charlie Kelly",589,454,"Minneapolis, MN",
13,793875768480632832,It would be great if I didn't forget they test the tornado alarm every first Wednesday of the month 🙄,2016-11-02 18:01:47,0,0,Twitter for iPhone,544461896,eboockoff,Emily Boockoff,2012-04-03 17:47:11,"She believed she could, so she did. BSU 2016 Grad. Alpha Sigma Tau Educational Consultant.",211,144,,
14,793875768002482176,I hate the first Wednesday of the month because tornado sirens freak me the fuck out 😖,2016-11-02 18:01:47,0,0,Twitter for iPhone,66565158,stephwade08,steph,2009-08-18 02:08:32,about 50% of my life involves taking bubble baths 🛁💕,372,75,"Minnesota, USA",
